NAME          Proxy
ROWS
 N  COST
 E  R00000
 E  R00001
 E  R00002
 E  R00003
 E  R00004
 E  R00005
 E  R00006
 E  R00007
 E  R00008
 E  R00009
 E  R00010
 E  R00011
 E  R00012
 E  R00013
 E  R00014
 E  R00015
 E  R00016
 E  R00017
 E  R00018
 E  R00019
 E  R00020
 E  R00021
 E  R00022
 E  R00023
 E  R00024
 E  R00025
 E  R00026
 E  R00027
 E  R00028
 E  R00029
 E  R00030
 E  R00031
 E  R00032
 E  R00033
 E  R00034
 E  R00035
 E  R00036
 E  R00037
 E  R00038
 E  R00039
 E  R00040
 E  R00041
 E  R00042
 E  R00043
 E  R00044
 E  R00045
 E  R00046
 E  R00047
 E  R00048
 E  R00049
 E  R00050
 E  R00051
 E  R00052
 E  R00053
 E  R00054
 E  R00055
 E  R00056
 E  R00057
 E  R00058
 E  R00059
 E  R00060
 E  R00061
 E  R00062
COLUMNS
    X00026  R00024    1.
 LO    BND1      X00301                 0.
 LO    BND1      X00302                 0.
 LO    BND1      X00303                 0.
 LO    BND1      X00304                 0.
 LO    BND1      X00305                 0.
 LO    BND1      X00306                 0.
 LO    BND1      X00307                 0.
 LO    BND1      X00308                 0.
 LO    BND1      X00309                 0.
 LO    BND1      X00310                 0.
 LO    BND1      X00311                 0.
 LO    BND1      X00312                 0.
 LO    BND1      X00313                 0.
 LO    BND1      X00314                 0.
 LO    BND1      X00315                 0.
 LO    BND1      X00316                 0.
 LO    BND1      X00317                 0.
 LO    BND1      X00318                 0.
 LO    BND1      X00319                 0.
 LO    BND1      X00320                 0.
 LO    BND1      X00321                 0.
 LO    BND1      X00322                 0.
 LO    BND1      X00323                 0.
 LO    BND1      X00324                 0.
 LO    BND1      X00325                 0.
 LO    BND1      X00326                 0.
 LO    BND1      X00327                 0.
 LO    BND1      X00328                 0.
 LO    BND1      X00329                 0.
 LO    BND1      X00330                 0.
 LO    BND1      X00331                 0.
 LO    BND1      X00332                 0.
 LO    BND1      X00333                 0.
 LO    BND1      X00334                 0.
 LO    BND1      X00335                 0.
 LO    BND1      X00336                 0.
 LO    BND1      X00337                 0.
 LO    BND1      X00338                 0.
 LO    BND1      X00339                 0.
 LO    BND1      X00340                 0.
 LO    BND1      X00341                 0.
 LO    BND1      X00342                 0.
 LO    BND1      X00343                 0.
 LO    BND1      X00344                 0.
 LO    BND1      X00345                 0.
 LO    BND1      X00346                 0.
 LO    BND1      X00347                 0.
 LO    BND1      X00348                 0.
 LO    BND1      X00349                 0.
 LO    BND1      X00350                 0.
 LO    BND1      X00351                 0.
 LO    BND1      X00352                 0.
 LO    BND1      X00353                 0.
 LO    BND1      X00354                 0.
 LO    BND1      X00355                 0.
 LO    BND1      X00356                 0.
 LO    BND1      X00357                 0.
 LO    BND1      X00358                 0.
 LO    BND1      X00359                 0.
 LO    BND1      X00360                 0.
 LO    BND1      X00361                 0.
 LO    BND1      X00362                 0.
 LO    BND1      X00363                 0.
 LO    BND1      X00364                 0.
 LO    BND1      X00365                 0.
 LO    BND1      X00366                 0.
 LO    BND1      X00367                 0.
 LO    BND1      X00368                 0.
 LO    BND1      X00369                 0.
 LO    BND1      X00370                 0.
 LO    BND1      X00371                 0.
 LO    BND1      X00372                 0.
 LO    BND1      X00373                 0.
 LO    BND1      X00374                 0.
 LO    BND1      X00375                 0.
 LO    BND1      X00376                 0.
 LO    BND1      X00377                 0.
 LO    BND1      X00378                 0.
 LO    BND1      X00379                 0.
 LO    BND1      X00380                 0.
 LO    BND1      X00381                 0.
 LO    BND1      X00382                 0.
 LO    BND1      X00383                 0.
 LO    BND1      X00384                 0.
 LO    BND1      X00385                 0.
 LO    BND1      X00386                 0.
 LO    BND1      X00387                 0.
 LO    BND1      X00388                 0.
 LO    BND1      X00389                 0.
 LO    BND1      X00390                 0.
 LO    BND1      X00391                 0.
 LO    BND1      X00392                 0.
 LO    BND1      X00393                 0.
 LO    BND1      X00394                 0.
 LO    BND1      X00395                 0.
 LO    BND1      X00396                 0.
 LO    BND1      X00397                 0.
 LO    BND1      X00398                 0.
 LO    BND1      X00399                 0.
 LO    BND1      X00400                 0.
 LO    BND1      X00401                 0.
 LO    BND1      X00402                 0.
 LO    BND1      X00403                 0.
 LO    BND1      X00404                 0.
 LO    BND1      X00405                 0.
 LO    BND1      X00406                 0.
 LO    BND1      X00407                 0.
 LO    BND1      X00408                 0.
 LO    BND1      X00409                 0.
 LO    BND1      X00410                 0.
 LO    BND1      X00411                 0.
 LO    BND1      X00412                 0.
 LO    BND1      X00413                 0.
 LO    BND1      X00414                 0.
 LO    BND1      X00415                 0.
 LO    BND1      X00416                 0.
 LO    BND1      X00417                 0.
 LO    BND1      X00418                 0.
 LO    BND1      X00419                 0.
 LO    BND1      X00420                 0.
 LO    BND1      X00421                 0.
 LO    BND1      X00422                 0.
 LO    BND1      X00423                 0.
 LO    BND1      X00424                 0.
 LO    BND1      X00425                 0.
 LO    BND1      X00426                 0.
 LO    BND1      X00427                 0.
 LO    BND1      X00428                 0.
 LO    BND1      X00429                 0.
 LO    BND1      X00430                 0.
 LO    BND1      X00431                 0.
 UP    BND1      X00432                 1.
 LO    BND1      X00432                 0.
 UP    BND1      X00433                 1.
 LO    BND1      X00433                 0.
 UP    BND1      X00434                 1.
 LO    BND1      X00434                 0.
 UP    BND1      X00435                 1.
 LO    BND1      X00435                 0.
 UP    BND1      X00436                 1.
 LO    BND1      X00436                 0.
 UP    BND1      X00437                 1.
 LO    BND1      X00437                 0.
 UP    BND1      X00438                 1.
 LO    BND1      X00438                 0.
 UP    BND1      X00439                 1.
 LO    BND1      X00439                 0.
 UP    BND1      X00440                 1.
 LO    BND1      X00440                 0.
 UP    BND1      X00441                 1.
 LO    BND1      X00441                 0.
 UP    BND1      X00442                 1.
 LO    BND1      X00442                 0.
 UP    BND1      X00443                 1.
 LO    BND1      X00443                 0.
 UP    BND1      X00444                 1.
 LO    BND1      X00444                 0.
 UP    BND1      X00445                 1.
 LO    BND1      X00445                 0.
 UP    BND1      X00446                 1.
 LO    BND1      X00446                 0.
 UP    BND1      X00447                 1.
 LO    BND1      X00447                 0.
 UP    BND1      X00448                 1.
 LO    BND1      X00448                 0.
 UP    BND1      X00449                 1.
 LO    BND1      X00449                 0.
 UP    BND1      X00450                 1.
 LO    BND1      X00450                 0.
 UP    BND1      X00451                 1.
 LO    BND1      X00451                 0.
 UP    BND1      X00452                 1.
 LO    BND1      X00452                 0.
 UP    BND1      X00453                 1.
 LO    BND1      X00453                 0.
 UP    BND1      X00454                 1.
 LO    BND1      X00454                 0.
 UP    BND1      X00455                 1.
 LO    BND1      X00455                 0.
 UP    BND1      X00456                 1.
 LO    BND1      X00456                 0.
 UP    BND1      X00457                 1.
 LO    BND1      X00457                 0.
 UP    BND1      X00458                 1.
 LO    BND1      X00458                 0.
 UP    BND1      X00459                 1.
 LO    BND1      X00459                 0.
 UP    BND1      X00460                 1.
 LO    BND1      X00460                 0.
 UP    BND1      X00461                 1.
 LO    BND1      X00461                 0.
 UP    BND1      X00462                 1.
 LO    BND1      X00462                 0.
 UP    BND1      X00463                 1.
 LO    BND1      X00463                 0.
 UP    BND1      X00464                 1.
 LO    BND1      X00464                 0.
 UP    BND1      X00465                 1.
 LO    BND1      X00465                 0.
 UP    BND1      X00466                 1.
 LO    BND1      X00466                 0.
 UP    BND1      X00467                 1.
 LO    BND1      X00467                 0.
 UP    BND1      X00468                 1.
 LO    BND1      X00468                 0.
 UP    BND1      X00469                 1.
 LO    BND1      X00469                 0.
 UP    BND1      X00470                 1.
 LO    BND1      X00470                 0.
 UP    BND1      X00471                 1.
 LO    BND1      X00471                 0.
 UP    BND1      X00472                 1.
 LO    BND1      X00472                 0.
 UP    BND1      X00473                 1.
 LO    BND1      X00473                 0.
 UP    BND1      X00474                 1.
 LO    BND1      X00474                 0.
 UP    BND1      X00475                 1.
 LO    BND1      X00475                 0.
 UP    BND1      X00476                 1.
 LO    BND1      X00476                 0.
 UP    BND1      X00477                 1.
 LO    BND1      X00477                 0.
 UP    BND1      X00478                 1.
 LO    BND1      X00478                 0.
 UP    BND1      X00479                 1.
 LO    BND1      X00479                 0.
 UP    BND1      X00480                 1.
 LO    BND1      X00480                 0.
 UP    BND1      X00481                 1.
 LO    BND1      X00481                 0.
 UP    BND1      X00482                 1.
 LO    BND1      X00482                 0.
 UP    BND1      X00483                 1.
 LO    BND1      X00483                 0.
 UP    BND1      X00484                 1.
 LO    BND1      X00484                 0.
 UP    BND1      X00485                 1.
 LO    BND1      X00485                 0.
 UP    BND1      X00486                 1.
 LO    BND1      X00486                 0.
 UP    BND1      X00487                 1.
 LO    BND1      X00487                 0.
 UP    BND1      X00488                 1.
 LO    BND1      X00488                 0.
 UP    BND1      X00489                 1.
 LO    BND1      X00489                 0.
 UP    BND1      X00490                 1.
 LO    BND1      X00490                 0.
 UP    BND1      X00491                 1.
 LO    BND1      X00491                 0.
 UP    BND1      X00492                 1.
 LO    BND1      X00492                 0.
 UP    BND1      X00493                 1.
 LO    BND1      X00493                 0.
 UP    BND1      X00494                 1.
 LO    BND1      X00494                 0.
 UP    BND1      X00495                 1.
 LO    BND1      X00495                 0.
 UP    BND1      X00496                 1.
 LO    BND1      X00496                 0.
 UP    BND1      X00497                 1.
 LO    BND1      X00497                 0.
 UP    BND1      X00498                 1.
 LO    BND1      X00498                 0.
 UP    BND1      X00499                 1.
 LO    BND1      X00499                 0.
 UP    BND1      X00500                 1.
 LO    BND1      X00500                 0.
 UP    BND1      X00501                 1.
 LO    BND1      X00501                 0.
 UP    BND1      X00502                 1.
 LO    BND1      X00502                 0.
 UP    BND1      X00503                 1.
 LO    BND1      X00503                 0.
 UP    BND1      X00504                 1.
 LO    BND1      X00504                 0.
 UP    BND1      X00505                 1.
 LO    BND1      X00505                 0.
 UP    BND1      X00506                 1.
 LO    BND1      X00506                 0.
 UP    BND1      X00507                 1.
 LO    BND1      X00507                 0.
 UP    BND1      X00508                 1.
 LO    BND1      X00508                 0.
 UP    BND1      X00509                 1.
 LO    BND1      X00509                 0.
 UP    BND1      X00510                 1.
 LO    BND1      X00510                 0.
 UP    BND1      X00511                 1.
 LO    BND1      X00511                 0.
 UP    BND1      X00512                 1.
 LO    BND1      X00512                 0.
 UP    BND1      X00513                 1.
 LO    BND1      X00513                 0.
 UP    BND1      X00514                 1.
 LO    BND1      X00514                 0.
 UP    BND1      X00515                 1.
 LO    BND1      X00515                 0.
 UP    BND1      X00516                 1.
 LO    BND1      X00516                 0.
 UP    BND1      X00517                 1.
 LO    BND1      X00517                 0.
 UP    BND1      X00518                 1.
 LO    BND1      X00518                 0.
 UP    BND1      X00519                 1.
 LO    BND1      X00519                 0.
 UP    BND1      X00520                 1.
 LO    BND1      X00520                 0.
 UP    BND1      X00521                 1.
 LO    BND1      X00521                 0.
 UP    BND1      X00522                 1.
 LO    BND1      X00522                 0.
 UP    BND1      X00523                 1.
 LO    BND1      X00523                 0.
 UP    BND1      X00524                 1.
 LO    BND1      X00524                 0.
 UP    BND1      X00525                 1.
 LO    BND1      X00525                 0.
 UP    BND1      X00526                 1.
 LO    BND1      X00526                 0.
 UP    BND1      X00527                 1.
 LO    BND1      X00527                 0.
 UP    BND1      X00528                 1.
 LO    BND1      X00528                 0.
 UP    BND1      X00529                 1.
 LO    BND1      X00529                 0.
 UP    BND1      X00530                 1.
 LO    BND1      X00530                 0.
 UP    BND1      X00531                 1.
 LO    BND1      X00531                 0.
 UP    BND1      X00532                 1.
 LO    BND1      X00532                 0.
 UP    BND1      X00533                 1.
 LO    BND1      X00533                 0.
 LO    BND1      Z00000                 0.
 LO    BND1      Z00001                 0.
 LO    BND1      Z00002                 0.
 LO    BND1      Z00003                 0.
 LO    BND1      Z00004                 0.
 LO    BND1      Z00005                 0.
 LO    BND1      Z00006                 0.
 LO    BND1      Z00007                 0.
 LO    BND1      Z00008                 0.
 LO    BND1      Z00009                 0.
 LO    BND1      Z00010                 0.
 LO    BND1      Z00011                 0.
 LO    BND1      Z00012                 0.
 LO    BND1      Z00013                 0.
 LO    BND1      Z00014                 0.
 LO    BND1      Z00015                 0.
 LO    BND1      Z00016                 0.
 LO    BND1      Z00017                 0.
 LO    BND1      Z00018                 0.
 LO    BND1      Z00019                 0.
 LO    BND1      Z00020                 0.
 LO    BND1      Z00021                 0.
 LO    BND1      Z00022                 0.
 LO    BND1      Z00023                 0.
 LO    BND1      Z00024                 0.
 LO    BND1      Z00025                 0.
 LO    BND1      Z00026                 0.
 LO    BND1      Z00027                 0.
 LO    BND1      Z00028                 0.
 LO    BND1      Z00029                 0.
 LO    BND1      Z00030                 0.
 LO    BND1      Z00031                 0.
 LO    BND1      Z00032                 0.
 LO    BND1      Z00033                 0.
 LO    BND1      Z00034                 0.
 LO    BND1      Z00035                 0.
 LO    BND1      Z00036                 0.
 LO    BND1      Z00037                 0.
 LO    BND1      Z00038                 0.
 LO    BND1      Z00039                 0.
 LO    BND1      Z00040                 0.
 LO    BND1      Z00041                 0.
 LO    BND1      Z00042                 0.
 LO    BND1      Z00043                 0.
 LO    BND1      Z00044                 0.
 LO    BND1      Z00045                 0.
 LO    BND1      Z00046                 0.
 LO    BND1      Z00047                 0.
 LO    BND1      Z00048                 0.
 LO    BND1      Z00049                 0.
 LO    BND1      Z00050                 0.
 LO    BND1      Z00051                 0.
 LO    BND1      Z00052                 0.
 LO    BND1      Z00053                 0.
 LO    BND1      Z00054                 0.
 LO    BND1      Z00055                 0.
 LO    BND1      Z00056                 0.
 LO    BND1      Z00057                 0.
 LO    BND1      Z00058                 0.
 LO    BND1      Z00059                 0.
 LO    BND1      Z00060                 0.
 LO    BND1      Z00061                 0.
 LO    BND1      Z00062                 0.
 LO    BND1      Z00063                 0.
 LO    BND1      Z00064                 0.
 LO    BND1      Z00065                 0.
 LO    BND1      Z00066                 0.
 LO    BND1      Z00067                 0.
 LO    BND1      Z00068                 0.
 LO    BND1      Z00069                 0.
 LO    BND1      Z00070                 0.
 LO    BND1      Z00071                 0.
 LO    BND1      Z00072                 0.
 LO    BND1      Z00073                 0.
 LO    BND1      Z00074                 0.
 LO    BND1      Z00075                 0.
 LO    BND1      Z00076                 0.
 LO    BND1      Z00077                 0.
 LO    BND1      Z00078                 0.
 LO    BND1      Z00079                 0.
 LO    BND1      Z00080                 0.
 LO    BND1      Z00081                 0.
 LO    BND1      Z00082                 0.
 LO    BND1      Z00083                 0.
 LO    BND1      Z00084                 0.
 LO    BND1      Z00085                 0.
 LO    BND1      Z00086                 0.
 LO    BND1      Z00087                 0.
 LO    BND1      Z00088                 0.
 LO    BND1      Z00089                 0.
 LO    BND1      Z00090                 0.
 LO    BND1      Z00091                 0.
 LO    BND1      Z00092                 0.
 LO    BND1      Z00093                 0.
 LO    BND1      Z00094                 0.
 LO    BND1      Z00095                 0.
 LO    BND1      Z00096                 0.
 LO    BND1      Z00097                 0.
 LO    BND1      Z00098                 0.
 LO    BND1      Z00099                 0.
 LO    BND1      Z00100                 0.
 LO    BND1      Z00101                 0.
 LO    BND1      Z00102                 0.
 LO    BND1      Z00103                 0.
 LO    BND1      Z00104                 0.
 LO    BND1      Z00105                 0.
 LO    BND1      Z00106                 0.
 LO    BND1      Z00107                 0.
 LO    BND1      Z00108                 0.
 LO    BND1      Z00109                 0.
 LO    BND1      Z00110                 0.
 LO    BND1      Z00111                 0.
 LO    BND1      Z00112                 0.
 LO    BND1      Z00113                 0.
 LO    BND1      Z00114                 0.
 LO    BND1      Z00115                 0.
 LO    BND1      Z00116                 0.
 LO    BND1      Z00117                 0.
 LO    BND1      Z00118                 0.
 LO    BND1      Z00119                 0.
 LO    BND1      Z00120                 0.
 LO    BND1      Z00121                 0.
 LO    BND1      Z00122                 0.
 LO    BND1      Z00123                 0.
 LO    BND1      Z00124                 0.
 LO    BND1      Z00125                 0.
 LO    BND1      Z00126                 0.
 LO    BND1      Z00127                 0.
 LO    BND1      Z00128                 0.
 LO    BND1      Z00129                 0.
 LO    BND1      Z00130                 0.
 LO    BND1      Z00131                 0.
 LO    BND1      Z00132                 0.
 LO    BND1      Z00133                 0.
 LO    BND1      Z00134                 0.
 LO    BND1      Z00135                 0.
 LO    BND1      Z00136                 0.
 LO    BND1      Z00137                 0.
 LO    BND1      Z00138                 0.
 LO    BND1      Z00139                 0.
 LO    BND1      Z00140                 0.
 LO    BND1      Z00141                 0.
 LO    BND1      Z00142                 0.
 LO    BND1      Z00143                 0.
 LO    BND1      Z00144                 0.
 LO    BND1      Z00145                 0.
 LO    BND1      Z00146                 0.
 LO    BND1      Z00147                 0.
 LO    BND1      Z00148                 0.
 LO    BND1      Z00149                 0.
 LO    BND1      Z00150                 0.
 LO    BND1      Z00151                 0.
 LO    BND1      Z00152                 0.
 LO    BND1      Z00153                 0.
 LO    BND1      Z00154                 0.
 LO    BND1      Z00155                 0.
 LO    BND1      Z00156                 0.
 LO    BND1      Z00157                 0.
 LO    BND1      Z00158                 0.
 LO    BND1      Z00159                 0.
 LO    BND1      Z00160                 0.
 LO    BND1      Z00161                 0.
 LO    BND1      Z00162                 0.
 LO    BND1      Z00163                 0.
 LO    BND1      Z00164                 0.
 LO    BND1      Z00165                 0.
 LO    BND1      Z00166                 0.
 LO    BND1      Z00167                 0.
 LO    BND1      Z00168                 0.
 LO    BND1      Z00169                 0.
 LO    BND1      Z00170                 0.
 LO    BND1      Z00171                 0.
 LO    BND1      Z00172                 0.
 LO    BND1      Z00173                 0.
 LO    BND1      Z00174                 0.
 LO    BND1      Z00175                 0.
 LO    BND1      Z00176                 0.
 LO    BND1      Z00177                 0.
 LO    BND1      Z00178                 0.
 LO    BND1      Z00179                 0.
 LO    BND1      Z00180                 0.
 LO    BND1      Z00181                 0.
 LO    BND1      Z00182                 0.
 LO    BND1      Z00183                 0.
 LO    BND1      Z00184                 0.
 LO    BND1      Z00185                 0.
 LO    BND1      Z00186                 0.
 LO    BND1      Z00187                 0.
 LO    BND1      Z00188                 0.
 LO    BND1      Z00189                 0.
 LO    BND1      Z00190                 0.
 LO    BND1      Z00191                 0.
 LO    BND1      Z00192                 0.
 LO    BND1      Z00193                 0.
 LO    BND1      Z00194                 0.
 LO    BND1      Z00195                 0.
 LO    BND1      Z00196                 0.
 LO    BND1      Z00197                 0.
 LO    BND1      Z00198                 0.
 LO    BND1      Z00199                 0.
 LO    BND1      Z00200                 0.
 LO    BND1      Z00201                 0.
 LO    BND1      Z00202                 0.
 LO    BND1      Z00203                 0.
 LO    BND1      Z00204                 0.
 LO    BND1      Z00205                 0.
 LO    BND1      Z00206                 0.
 LO    BND1      Z00207                 0.
 LO    BND1      Z00208                 0.
 LO    BND1      Z00209                 0.
 LO    BND1      Z00210                 0.
 LO    BND1      Z00211                 0.
 LO    BND1      Z00212                 0.
 LO    BND1      Z00213                 0.
 LO    BND1      Z00214                 0.
 LO    BND1      Z00215                 0.
 LO    BND1      Z00216                 0.
 LO    BND1      Z00217                 0.
 LO    BND1      Z00218                 0.
 LO    BND1      Z00219                 0.
 LO    BND1      Z00220                 0.
 LO    BND1      Z00221                 0.
 LO    BND1      Z00222                 0.
 LO    BND1      Z00223                 0.
 LO    BND1      Z00224                 0.
 LO    BND1      Z00225                 0.
 LO    BND1      Z00226                 0.
 LO    BND1      Z00227                 0.
 LO    BND1      Z00228                 0.
 LO    BND1      Z00229                 0.
 LO    BND1      Z00230                 0.
 LO    BND1      Z00231                 0.
 LO    BND1      Z00232                 0.
 LO    BND1      Z00233                 0.
 LO    BND1      Z00234                 0.
 LO    BND1      Z00235                 0.
 LO    BND1      Z00236                 0.
 LO    BND1      Z00237                 0.
 LO    BND1      Z00238                 0.
 LO    BND1      Z00239                 0.
 LO    BND1      Z00240                 0.
 LO    BND1      Z00241                 0.
 LO    BND1      Z00242                 0.
 LO    BND1      Z00243                 0.
 LO    BND1      Z00244                 0.
 LO    BND1      Z00245                 0.
 LO    BND1      Z00246                 0.
 LO    BND1      Z00247                 0.
 LO    BND1      Z00248                 0.
 LO    BND1      Z00249                 0.
 LO    BND1      Z00250                 0.
 LO    BND1      Z00251                 0.
 LO    BND1      Z00252                 0.
 LO    BND1      Z00253                 0.
 LO    BND1      Z00254                 0.
 LO    BND1      Z00255                 0.
 LO    BND1      Z00256                 0.
 LO    BND1      Z00257                 0.
 LO    BND1      Z00258                 0.
 LO    BND1      Z00259                 0.
 LO    BND1      Z00260                 0.
 LO    BND1      Z00261                 0.
 LO    BND1      Z00262                 0.
 LO    BND1      Z00263                 0.
 LO    BND1      Z00264                 0.
 LO    BND1      Z00265                 0.
 LO    BND1      Z00266                 0.
 LO    BND1      Z00267                 0.
 LO    BND1      Z00268                 0.
 LO    BND1      Z00269                 0.
 LO    BND1      Z00270                 0.
 LO    BND1      Z00271                 0.
 LO    BND1      Z00272                 0.
 LO    BND1      Z00273                 0.
 LO    BND1      Z00274                 0.
 LO    BND1      Z00275                 0.
 LO    BND1      Z00276                 0.
 LO    BND1      Z00277                 0.
 LO    BND1      Z00278                 0.
 LO    BND1      Z00279                 0.
 LO    BND1      Z00280                 0.
 LO    BND1      Z00281                 0.
 LO    BND1      Z00282                 0.
 LO    BND1      Z00283                 0.
 LO    BND1      Z00284                 0.
 LO    BND1      Z00285                 0.
 LO    BND1      Z00286                 0.
 LO    BND1      Z00287                 0.
 LO    BND1      Z00288                 0.
 LO    BND1      Z00289                 0.
 LO    BND1      Z00290                 0.
 LO    BND1      Z00291                 0.
 LO    BND1      Z00292                 0.
 LO    BND1      Z00293                 0.
 LO    BND1      Z00294                 0.
 LO    BND1      Z00295                 0.
 LO    BND1      Z00296                 0.
 LO    BND1      Z00297                 0.
 LO    BND1      Z00298                 0.
 LO    BND1      Z00299                 0.
 LO    BND1      Z00300                 0.
 LO    BND1      Z00301                 0.
 LO    BND1      Z00302                 0.
 LO    BND1      Z00303                 0.
 LO    BND1      Z00304                 0.
 LO    BND1      Z00305                 0.
 LO    BND1      Z00306                 0.
 LO    BND1      Z00307                 0.
 LO    BND1      Z00308                 0.
 LO    BND1      Z00309                 0.
 LO    BND1      Z00310                 0.
 LO    BND1      Z00311                 0.
 LO    BND1      Z00312                 0.
 LO    BND1      Z00313                 0.
 LO    BND1      Z00314                 0.
 LO    BND1      Z00315                 0.
 LO    BND1      Z00316                 0.
 LO    BND1      Z00317                 0.
 LO    BND1      Z00318                 0.
 LO    BND1      Z00319                 0.
 LO    BND1      Z00320                 0.
 LO    BND1      Z00321                 0.
 LO    BND1      Z00322                 0.
 LO    BND1      Z00323                 0.
 LO    BND1      Z00324                 0.
 LO    BND1      Z00325                 0.
 LO    BND1      Z00326                 0.
 LO    BND1      Z00327                 0.
 LO    BND1      Z00328                 0.
 LO    BND1      Z00329                 0.
 LO    BND1      Z00330                 0.
 LO    BND1      Z00331                 0.
 LO    BND1      Z00332                 0.
 LO    BND1      Z00333                 0.
 LO    BND1      Z00334                 0.
 LO    BND1      Z00335                 0.
 LO    BND1      Z00336                 0.
 LO    BND1      Z00337                 0.
 LO    BND1      Z00338                 0.
 LO    BND1      Z00339                 0.
 LO    BND1      Z00340                 0.
 LO    BND1      Z00341                 0.
 LO    BND1      Z00342                 0.
 LO    BND1      Z00343                 0.
 LO    BND1      Z00344                 0.
 LO    BND1      Z00345                 0.
 LO    BND1      Z00346                 0.
 LO    BND1      Z00347                 0.
 LO    BND1      Z00348                 0.
 LO    BND1      Z00349                 0.
 LO    BND1      Z00350                 0.
 LO    BND1      Z00351                 0.
 LO    BND1      Z00352                 0.
 LO    BND1      Z00353                 0.
 LO    BND1      Z00354                 0.
 LO    BND1      Z00355                 0.
 LO    BND1      Z00356                 0.
 LO    BND1      Z00357                 0.
 LO    BND1      Z00358                 0.
 LO    BND1      Z00359                 0.
 LO    BND1      Z00360                 0.
 LO    BND1      Z00361                 0.
 LO    BND1      Z00362                 0.
 LO    BND1      Z00363                 0.
 LO    BND1      Z00364                 0.
 LO    BND1      Z00365                 0.
 LO    BND1      Z00366                 0.
 LO    BND1      Z00367                 0.
 LO    BND1      Z00368                 0.
 LO    BND1      Z00369                 0.
 LO    BND1      Z00370                 0.
 LO    BND1      Z00371                 0.
 LO    BND1      Z00372                 0.
 LO    BND1      Z00373                 0.
 LO    BND1      Z00374                 0.
 LO    BND1      Z00375                 0.
 LO    BND1      Z00376                 0.
 LO    BND1      Z00377                 0.
 LO    BND1      Z00378                 0.
 LO    BND1      Z00379                 0.
 LO    BND1      Z00380                 0.
 LO    BND1      Z00381                 0.
 LO    BND1      Z00382                 0.
 LO    BND1      Z00383                 0.
 LO    BND1      Z00384                 0.
 LO    BND1      Z00385                 0.
 LO    BND1      Z00386                 0.
 LO    BND1      Z00387                 0.
 LO    BND1      Z00388                 0.
 LO    BND1      Z00389                 0.
 LO    BND1      Z00390                 0.
 LO    BND1      Z00391                 0.
 LO    BND1      Z00392                 0.
 LO    BND1      Z00393                 0.
 LO    BND1      Z00394                 0.
 LO    BND1      Z00395                 0.
 LO    BND1      Z00396                 0.
 LO    BND1      Z00397                 0.
 LO    BND1      Z00398                 0.
 LO    BND1      Z00399                 0.
 LO    BND1      Z00400                 0.
 LO    BND1      Z00401                 0.
 LO    BND1      Z00402                 0.
 LO    BND1      Z00403                 0.
 LO    BND1      Z00404                 0.
 LO    BND1      Z00405                 0.
 LO    BND1      Z00406                 0.
 LO    BND1      Z00407                 0.
 LO    BND1      Z00408                 0.
 LO    BND1      Z00409                 0.
 LO    BND1      Z00410                 0.
 LO    BND1      Z00411                 0.
 LO    BND1      Z00412                 0.
 LO    BND1      Z00413                 0.
 LO    BND1      Z00414                 0.
 LO    BND1      Z00415                 0.
 LO    BND1      Z00416                 0.
 LO    BND1      Z00417                 0.
 LO    BND1      Z00418                 0.
 LO    BND1      Z00419                 0.
 LO    BND1      Z00420                 0.
 LO    BND1      Z00421                 0.
 LO    BND1      Z00422                 0.
 LO    BND1      Z00423                 0.
 LO    BND1      Z00424                 0.
 LO    BND1      Z00425                 0.
 LO    BND1      Z00426                 0.
 LO    BND1      Z00427                 0.
 LO    BND1      Z00428                 0.
 LO    BND1      Z00429                 0.
 LO    BND1      Z00430                 0.
 LO    BND1      Z00431                 0.
 LO    BND1      Z00432                 0.
 LO    BND1      Z00433                 0.
 LO    BND1      Z00434                 0.
 LO    BND1      Z00435                 0.
 LO    BND1      Z00436                 0.
 LO    BND1      Z00437                 0.
 LO    BND1      Z00438                 0.
 LO    BND1      Z00439                 0.
 LO    BND1      Z00440                 0.
 LO    BND1      Z00441                 0.
 LO    BND1      Z00442                 0.
 LO    BND1      Z00443                 0.
 LO    BND1      Z00444                 0.
 LO    BND1      Z00445                 0.
 LO    BND1      Z00446                 0.
 LO    BND1      Z00447                 0.
 LO    BND1      Z00448                 0.
 LO    BND1      Z00449                 0.
 LO    BND1      Z00450                 0.
 LO    BND1      Z00451                 0.
 LO    BND1      Z00452                 0.
 LO    BND1      Z00453                 0.
 LO    BND1      Z00454                 0.
 LO    BND1      Z00455                 0.
 LO    BND1      Z00456                 0.
 LO    BND1      Z00457                 0.
 LO    BND1      Z00458                 0.
 LO    BND1      Z00459                 0.
 LO    BND1      Z00460                 0.
 LO    BND1      Z00461                 0.
 LO    BND1      Z00462                 0.
 LO    BND1      Z00463                 0.
 LO    BND1      Z00464                 0.
 LO    BND1      Z00465                 0.
 LO    BND1      Z00466                 0.
 LO    BND1      Z00467                 0.
 LO    BND1      Z00468                 0.
 LO    BND1      Z00469                 0.
 LO    BND1      Z00470                 0.
 LO    BND1      Z00471                 0.
 LO    BND1      Z00472                 0.
 LO    BND1      Z00473                 0.
 LO    BND1      Z00474                 0.
 LO    BND1      Z00475                 0.
 LO    BND1      Z00476                 0.
 LO    BND1      Z00477                 0.
 LO    BND1      Z00478                 0.
 LO    BND1      Z00479                 0.
